ID,Sentence,Annotation_GCAM1,Annotation_GCAM2,Notes_GCAM1,Notes_GCAM2,Agreement
676,"Civil partnerships that give same-sex couples the same rights as married ones, for example, remain nonexistent.
",G10,G1,,not sure,G9
243,"We imagine today that everything is done by the aggregate without the will to act of any of the individuals composing the aggregate.
","G2, G10",G1,It feels there is some sort of criticism (G2).,,"G1, G5"
581,"Our system of unbridled profit-focused capitalism used to serve as perhaps the most important of those sanctuaries, but no longer.
",G1,"G5, G1",,,"G1, G5"
291,"It is my hope that the Congress, which has seen fit to provide $2 billion to protect the banking interests of the United States, will see the necessity of passing this legislation to protect the old people.
",G7,G3,,,G3
116,"Observe that in time of prosperity government is bound to extend itself because revenues are plenty and there is always a purblind demand for special benefits to be conferred by public credit.
",G3,G1,,,G1
643,"Local governments and their financing vehicles, which led the stimulus efforts in 2008, are not now so bold.
",G10,G1,,,G1
260,"A total ruin of the public credit would be a disaster in fact.
",G5,G1,,,G5
489,"There are some frauds so massively insane that Americans won’t do them.
",G1,"G1, G2",,,"G2, G5"
150,"Now the oldest object of his animosity—namely, the political boss—has annexed the idea.
",G5,G2,,,"G2, G5"
535,"Of course, illegal aliens by definition are guilty of unlawful conduct and it is hard to imagine them going about their daily business without committing acts involving dishonesty, fraud, deceit, or misrepresentation.
",G4,G2,,,G2
179,"First by habit one thinks of those for which we have traditional images: The machine, the boss, the pork barrel, the spoils system, the politician everywhere in his popular character, acquiring merit and power by spending public money; doing things for his people with the money of other people, taking care at the same time to do enough for himself with everybody’s money.
",G5,"G2, G5",,,"G2, G5"
246,"If the natural level of economic recovery were long delayed, then all these measures would very soon fail in the total ruin of public credit.
",G9,G1,Putting g9 just because it's hypothetical.,,G1
559,"This raises my greatest concern of all with stakeholder capitalism, no matter how it’s defined: its proponents are eager to strengthen the link between democracy and capitalism at a time when we should instead assiduously disentangle one from the other.
",G7,"G1, G2",,,"G2, G7"
198,"This is the income tax alone!
",G7,G9,because of the punctuation mark. I don't remember what we've said about punctuation marks.,,G7
81,"Despite a mass media campaign to make you believe getting a booster is essential to “top up your immunity” due to declining effectiveness, it is actually impossible for vaccine effectiveness to wane when it comes to the Covid-19 injections.
",G5,G1,For the causative structure.,,"G1, G2"
192,"The present Reconstruction Finance Corporation is a revival of that power in time of peace.
",G10,G9,,,G9
175,"That when from bad banking, wild speculation, senseless credit inflation, or no matter from what cause, the private banking structure seems about to fall, it becomes a function of government to support it with public credit, not particularly to save the banks, but to save depositors.
",G1,"G1, G4",,,"G1, G4"
306,"Now, much more potent are the forces acting upon a definite political doctrine.
",G1,G5,,,G1
594,"Reasonable minds can differ on this question, and this debate will take further book-length works to fully adjudicate.
",G9,G1,,,G9
338,"There cannot even be a discussion of it until we see clearly where we are going.
",G9,G1,,,G9
544,"It’s a kind of brainwashing.
",G1,G4,,,G4
181,"One who remembers a Southern senator shouting out loud that he would steal for his people a hog every time a Yankee got a ham may be indignant, but the feeling is not personal.
",G8,"G1, G2",,,G2
123,"Such are the extreme liberals, the Socialists, the radicals, themselves perfectly honest, all haters of graft and corruption in government, yet who are for increasing popular taxes on any pretense of public benefit because that is one way of redistributing wealth downward, according to their doctrine.
",G2,G1,,,"G1, G2"
252,"And there is bound to be, again as it was after the war, a terrific extension of government.
","G2, G4",G1,,,"G1, G4"
593,"The creation of the limited-liability corporation was a potent tool to not simply unlock economic gains through the private sector, but also stop potentially limitless corporate power that could infect other spheres of society beyond the marketplace for goods and services.",G10,G5,,,"G1, G5, G4"
128,"But taking refuge in public credit will cause that same infection to attack business, banking, industry, agriculture, the entire body of private enterprise.
",G4,G5,,,"G5, G4"
386,"That didn’t keep it from changing from the home of two future Presidents around 1950 to a crack hell around 1990 to a pretty nondescript mostly Latino working class community today.
",G4,G5,,,G4
565,"The social fabric of a diverse democracy depends on preserving certain spaces as apolitical sanctuaries, especially in a divided body politic like ours.
",G5,G1,,,G5
315,"It may be that we are done with the anarchy of prices which we have so long justified by supposing a law of supply and demand.
",G9,G1,,,G4
595,"Stakeholder capitalism is part of a broader worldview that holds that corporate leaders should play a fundamental role in determining and implementing a society’s core values.
",G10,G9,,,G9
103,"A new variant that can evade vaccines and actually harm people will surface when the ruling class needs another lockdown to panic the unruly slaves into mass compliance out of fear.
",G5,G4,Metaphors,,G2
63,"After all, these wealthy investors felt fairly confident that they had at least some grasp on what was happening in the world economy in the short- to medium-term – and PCL was left somewhat in the doldrums.
",G2,G1,,,G1
723,"If one doesn’t work out, perhaps they’ll try another, as the public has already been sensitized to the possibility.",G9,G10,,not sure,G9
494,"These were impressive numbers for a charity that seemed to focus on Somalis in Minnesota.
",G1,G10,,,G9
58,"If you’re looking for a bellwether for the world economy, you could do worse than consider what’s happening at the very highest end of London’s property market.
","G1,G2",G1,,,G1
545,"The Thought Police in the Biden-Harris regime ordered U.S. immigration enforcement agencies in April 2021 to refrain from using “alien” and “illegal alien.”
",G11,G6,,,"G6, G11"
