ID,Sentence,Annotation,Notes
559,"This raises my greatest concern of all with stakeholder capitalism, no matter how it’s defined: its proponents are eager to strengthen the link between democracy and capitalism at a time when we should instead assiduously disentangle one from the other.
","G1, G2",
335,"What it means is extension of government—not bad government only but good and bad together.
",G1,
272,"These predatory, parasitic, more or less shameless forces are inseparable from government.
",G4,
198,"This is the income tax alone!
",G9,
81,"Despite a mass media campaign to make you believe getting a booster is essential to “top up your immunity” due to declining effectiveness, it is actually impossible for vaccine effectiveness to wane when it comes to the Covid-19 injections.
",G1,
192,"The present Reconstruction Finance Corporation is a revival of that power in time of peace.
",G9,
175,"That when from bad banking, wild speculation, senseless credit inflation, or no matter from what cause, the private banking structure seems about to fall, it becomes a function of government to support it with public credit, not particularly to save the banks, but to save depositors.
","G1, G4",
306,"Now, much more potent are the forces acting upon a definite political doctrine.
",G5,
594,"Reasonable minds can differ on this question, and this debate will take further book-length works to fully adjudicate.
",G1,
557,"Nonetheless I believe it falls short for legal and historical reasons that I lay out in “Woke, Inc”, my book published last year.
",G1,
728,"It seems like there are gearing up for several different angles.
",G1,
693,"And while local far-right activists appear to have quietly accepted defeat over Belgrade Pride, a tame and small-scale annual event, the ferocity of their opposition to EuroPride reveals that social attitudes are not much different from 2001.
",G1,
389,"A freeway runs through the south edge of Compton and along its east edge, but, overall, it looks to me to be pretty well served by freeways, sitting in the middle of a rectangle of freeways.
",G1,
199,"But we are fighting the economic consequences of overliquidation and unjustified fear as to the future of the United States.
",G1,
338,"There cannot even be a discussion of it until we see clearly where we are going.
",G1,
544,"It’s a kind of brainwashing.
",G4,
181,"One who remembers a Southern senator shouting out loud that he would steal for his people a hog every time a Yankee got a ham may be indignant, but the feeling is not personal.
","G1, G2",
123,"Such are the extreme liberals, the Socialists, the radicals, themselves perfectly honest, all haters of graft and corruption in government, yet who are for increasing popular taxes on any pretense of public benefit because that is one way of redistributing wealth downward, according to their doctrine.
",G1,
252,"And there is bound to be, again as it was after the war, a terrific extension of government.
",G1,
716,"Even as cases slow, and worldwide cases (global population approaching 8 billion) have yet to top 23,000, the panic and fear-mongering continues.
",G1,
593,"The creation of the limited-liability corporation was a potent tool to not simply unlock economic gains through the private sector, but also stop potentially limitless corporate power that could infect other spheres of society beyond the marketplace for goods and services.",G5,
128,"But taking refuge in public credit will cause that same infection to attack business, banking, industry, agriculture, the entire body of private enterprise.
",G5,
386,"That didn’t keep it from changing from the home of two future Presidents around 1950 to a crack hell around 1990 to a pretty nondescript mostly Latino working class community today.
",G5,
565,"The social fabric of a diverse democracy depends on preserving certain spaces as apolitical sanctuaries, especially in a divided body politic like ours.
",G1,
315,"It may be that we are done with the anarchy of prices which we have so long justified by supposing a law of supply and demand.
",G1,
595,"Stakeholder capitalism is part of a broader worldview that holds that corporate leaders should play a fundamental role in determining and implementing a society’s core values.
",G9,
553,"By limiting the focus of corporate boards to shareholders’ financial interests alone, corporate law intended to confine the sphere of influence of corporations as a means of protecting democracy and other civic institutions from corporate overreach—just as society confers certain legal advantages to non-profit corporations in return for confining their activities to the sphere of charitable causes.
",G10,not sure
103,"A new variant that can evade vaccines and actually harm people will surface when the ruling class needs another lockdown to panic the unruly slaves into mass compliance out of fear.
",G4,
63,"After all, these wealthy investors felt fairly confident that they had at least some grasp on what was happening in the world economy in the short- to medium-term – and PCL was left somewhat in the doldrums.
",G1,
723,"If one doesn’t work out, perhaps they’ll try another, as the public has already been sensitized to the possibility.",G10,not sure
537,"The Left wants to devalue and abolish citizenship and what it means to be American, and confer all the benefits of being legal on people who are illegal – and it is succeeding.
",G1,
126,"Then these enthusiasts return home from their national gatherings, and if they find that their city spends less for such service, they make it their business to see that it soon attains such a standard.
",G2,not sure
560,"Part of what it means to live in a democracy is for those questions to be determined by the citizenry—publicly through debate and privately at the ballot box—where each person’s view is unadjusted according to the number of dollars that he controls in the marketplace.
",G2,
282,"Nobody can answer that.
",G9,
494,"These were impressive numbers for a charity that seemed to focus on Somalis in Minnesota.
",G10,
58,"If you’re looking for a bellwether for the world economy, you could do worse than consider what’s happening at the very highest end of London’s property market.
",G1,
545,"The Thought Police in the Biden-Harris regime ordered U.S. immigration enforcement agencies in April 2021 to refrain from using “alien” and “illegal alien.”
",G6,
